pest_name,crop_affected,natural_pesticide,preparation_method,application_method,effectiveness
Brown Plant Hopper,Rice,Neem Oil,Mix 5ml neem oil with 1L water,Spray on affected plants,High
Coconut Mite,Coconut,Soap Solution,Mix 10ml liquid soap with 1L water,Spray on fronds,Medium
Tea Mosquito Bug,Tea,Garlic Extract,Crush 50g garlic in 1L water overnight,Spray early morning,High
Coffee Berry Borer,Coffee,Bacillus thuringiensis,Mix 2g BT powder with 1L water,Spray on berries,High
Pepper Anthracnose,Black Pepper,Copper Sulfate,Mix 2g copper sulfate with 1L water,Spray on leaves,Medium
Cardamom Thrips,Cardamom,Tobacco Extract,Soak 50g tobacco in 1L water for 24hrs,Spray on plants,Medium
Rubber Leaf Disease,Rubber,Bordeaux Mixture,Mix lime and copper sulfate 1:1 ratio,Spray on leaves,High
Cashew Stem Borer,Cashew,Kerosene Emulsion,Mix kerosene with soap solution,Apply to stem,Medium
Banana Weevil,Banana,Pseudostem Trap,Cut pseudostem and place near plants,Physical trapping,High
Coconut Rhinoceros Beetle,Coconut,Pheromone Trap,Use commercial pheromone lures,Install traps in plantation,High
